Language,Set Name,Set Name (EN),Set Code,Year,Release Date,Series,Cards In Set,Cards Listed,Sources
Spanish,Jungla,,JU,1999,1999-06-16,Clásica,64,0,tcgdex
Spanish,Wizards Black Star Promos,,basep,1999,1999-07-01,Clásica,53,0,tcgdex
Spanish,Fósil,,FO,1999,1999-10-10,Clásica,62,0,tcgdex
Spanish,Neo Genesis,,N1,2000,2000-12-16,Neo,111,0,tcgdex
Spanish,Rubí & Zafiro,,RS,2003,2003-07-01,ex,109,0,tcgdex
Spanish,Nintendo Black Star Promos,,np,2003,2003-10-01,POP,40,0,tcgdex
Spanish,Kit de Entrenador EX (Latias),,TK1A,2004,2004-07-01,Kits de Entrenador,10,0,tcgdex
Spanish,Kit de Entrenador EX (Latios),,TK1O,2004,2004-07-01,Kits de Entrenador,10,0,tcgdex
Spanish,EX Fuerzas Ocultas,,UF,2005,2005-08-22,ex,115,0,tcgdex
Spanish,EX Fuerzas Ocultas Unown,,exu,2005,2005-08-22,ex,28,0,tcgdex
Spanish,Kit de Entrenador EX (Ninun),,TK2M,2006,2006-03-01,Kits de Entrenador,12,0,tcgdex
Spanish,Kit de Entrenador EX (Plusle),,TK2P,2006,2006-03-01,Kits de Entrenador,12,0,tcgdex
Spanish,DP Black Star Promos,,dpp,2007,2007-05-01,Diamante & Perla,56,0,tcgdex
Spanish,Diamante & Perla,,DP,2007,2007-05-01,Diamante & Perla,130,0,tcgdex
Spanish,Tesoros Misteriosos,,MT,2007,2007-08-01,Diamante & Perla,123,0,tcgdex
Spanish,Kit de Entrenador Diamante & Perla (Lucario),,TK3L,2007,2007-09-01,Kits de Entrenador,11,0,tcgdex
Spanish,Kit de Entrenador Diamante & Perla (Manaphy),,TK3M,2007,2007-09-01,Kits de Entrenador,12,0,tcgdex
Spanish,Maravillas Secretas,,SW,2007,2007-11-01,Diamante & Perla,132,0,tcgdex
Spanish,Grandes Encuentros,,GE,2008,2008-02-01,Diamante & Perla,106,0,tcgdex
Spanish,Despertar de las Leyendas,,LA,2008,2008-08-01,Diamante & Perla,146,0,tcgdex
Spanish,Frente Tormentoso,,SF,2008,2008-11-01,Diamante & Perla,100,0,tcgdex
Spanish,Platino,,PL,2009,2009-02-11,Platino,127,0,tcgdex
Spanish,Arceus,,AR,2009,2009-11-04,Platino,99,0,tcgdex
Spanish,Pokémon Rumble,,RM,2009,2009-12-02,Platino,16,0,tcgdex
Spanish,HeartGold SoulSilver,,HS,2010,2010-02-10,HeartGold SoulSilver,123,0,tcgdex
Spanish,HGSS Black Star Promos,,hgssp,2010,2010-02-11,HeartGold SoulSilver,25,0,tcgdex
Spanish,Kit de Entrenador HeatGold & SoulSilver (Gyarados),,TK4G,2010,2010-05-01,Kits de Entrenador,30,0,tcgdex
Spanish,Kit de Entrenador HeatGold & SoulSilver (Raichu),,TK4R,2010,2010-05-01,Kits de Entrenador,30,0,tcgdex
Spanish,Liberados,,UL,2010,2010-05-12,HeartGold SoulSilver,95,0,tcgdex
Spanish,Negro y Blanco,,BLW,2011,2011-04-25,Negro y Blanco,114,115,tcgdex
Spanish,NB Promo,,BWP,2011,2011-04-26,Negro y Blanco,101,0,tcgdex
Spanish,Colección de McDonald's 2011,,MCD11,2011,2011-06-17,Colección de McDonald's,12,0,tcgdex
Spanish,Fuerzas Emergentes,,EP,2011,2011-08-31,Negro y Blanco,98,98,tcgdex
Spanish,Kit de Entrenador BW (Excadrill),,TK5E,2011,2011-09-01,Kits de Entrenador,30,30,tcgdex
Spanish,Kit de Entrenador XY (Pikachu Enmascarada),,TK5Z,2011,2011-09-01,Kits de Entrenador,30,30,tcgdex
Spanish,Nobles Victorias,,NVI,2011,2011-11-16,Negro y Blanco,101,102,tcgdex
Spanish,Próximos Destinos,,NXD,2012,2012-02-08,Negro y Blanco,99,103,tcgdex
Spanish,Oscuros Exploradores,,DEX,2012,2012-05-09,Negro y Blanco,108,111,tcgdex
Spanish,Colección de McDonald's 2012,,MCD12,2012,2012-06-15,Colección de McDonald's,12,0,tcgdex
Spanish,Dragones Majestuosos,,DRX,2012,2012-08-15,Negro y Blanco,124,128,tcgdex
Spanish,Tesoro de Dragones,,DRV,2012,2012-10-05,Negro y Blanco,20,0,tcgdex
Spanish,Fronteras Cruzadas,,BCR,2012,2012-11-07,Negro y Blanco,149,153,tcgdex
Spanish,Tormenta Plasma,,PLS,2013,2013-02-06,Negro y Blanco,135,138,tcgdex
Spanish,Glaciación Plasma,,PLF,2013,2013-05-08,Negro y Blanco,116,122,tcgdex
Spanish,XY Cartas de promoción,,XYP,2013,2013-10-12,XY,211,0,tcgdex
Spanish,Cartas alternativas,,xya,2014,2014-02-05,XY,6,0,tcgdex
Spanish,XY,,XY,2014,2014-02-05,XY,146,146,tcgdex
Spanish,Kit de Entrenador XY (Noivern),,TK6N,2014,2014-03-12,Kits de Entrenador,30,30,tcgdex
Spanish,Kit de Entrenador XY (Pikachu Enmascarada),,TK6S,2014,2014-03-12,Kits de Entrenador,30,30,tcgdex
Spanish,Destellos de Fuego,,FLF,2014,2014-05-07,XY,106,109,tcgdex
Spanish,Puños Furiosos,,FFI,2014,2014-08-13,XY,111,113,tcgdex
Spanish,Kit de Entrenador XY (Bisharp),,TK7A,2014,2014-11-01,Kits de Entrenador,30,30,tcgdex
Spanish,Kit de Entrenador XY (Wigglytuff),,TK7B,2014,2014-11-01,Kits de Entrenador,30,30,tcgdex
Spanish,Fuerzas Fantasmales,,PHF,2014,2014-11-05,XY,119,122,tcgdex
Spanish,Duelos Primigenios,,PRC,2015,2015-02-04,XY,160,164,tcgdex
Spanish,Kit de Entrenador XY (Latias),,TK8A,2015,2015-04-29,Kits de Entrenador,30,30,tcgdex
Spanish,Kit de Entrenador XY (Latios),,TK8O,2015,2015-04-29,Kits de Entrenador,30,30,tcgdex
Spanish,Cielos Rugientes,,ROS,2015,2015-05-06,XY,108,110,tcgdex
Spanish,Antiguos Orígenes,,AOR,2015,2015-08-12,XY,98,100,tcgdex
Spanish,Turbo Impulso,,BKT,2015,2015-11-04,XY,162,164,tcgdex
Spanish,TURBOLímite,,BKP,2016,2016-02-03,XY,122,123,tcgdex
Spanish,Generaciones,,GEN,2016,2016-02-22,XY,83,0,tcgdex
Spanish,Kit de Entrenador XY (Pikachu Enmascarada),,TK9P,2016,2016-04-27,Kits de Entrenador,30,30,tcgdex
Spanish,Kit de Entrenador XY (Suicune),,TK9S,2016,2016-04-27,Kits de Entrenador,30,30,tcgdex
Spanish,Destinos Enfrentados,,FCO,2016,2016-05-02,XY,124,125,tcgdex
Spanish,Asedio de Vapor,,STS,2016,2016-08-03,XY,114,116,tcgdex
Spanish,Evoluciones,,EVO,2016,2016-11-02,XY,108,113,tcgdex
Spanish,SL Cartas de promoción,,SMP,2017,2017-02-03,Sol y Luna,248,240,tcgdex
Spanish,Sol y Luna,,SUM,2017,2017-02-03,Sol y Luna,149,163,tcgdex
Spanish,Kit de Entrenador Sol y Luna (Lycanroc),,TK10L,2017,2017-04-21,Kits de Entrenador,30,18,tcgdex
Spanish,Kit de Entrenador Sol y Luna (Raichu de Alola),,TK10A,2017,2017-04-21,Kits de Entrenador,30,19,tcgdex
Spanish,Albor de Guadianes,,GRI,2017,2017-05-05,Sol y Luna,145,169,tcgdex
Spanish,Sombras Ardientes,,BUS,2017,2017-08-04,Sol y Luna,147,169,tcgdex
Spanish,Leyendas Luminosas,,SLG,2017,2017-10-06,Sol y Luna,73,78,tcgdex
Spanish,Invasión Carmesí,,CIN,2017,2017-11-03,Sol y Luna,111,124,tcgdex
Spanish,Ultraprisma,,UPR,2018,2018-02-02,Sol y Luna,156,173,tcgdex
Spanish,Luz Prohibida,,FLI,2018,2018-05-04,Sol y Luna,131,146,tcgdex
Spanish,Tormenta Celestial,,CES,2018,2018-08-03,Sol y Luna,168,183,tcgdex
Spanish,Majestad De Dragones,,DRM,2018,2018-09-07,Sol y Luna,70,78,tcgdex
Spanish,Truenos Perdidos,,LOT,2018,2018-11-02,Sol y Luna,214,236,tcgdex
Spanish,Union de Aliados,,TEU,2019,2019-01-31,Sol y Luna,181,196,tcgdex
Spanish,Detective Pikachu,,DET,2019,2019-03-29,Sol y Luna,18,18,tcgdex
Spanish,Vínculos Indestructibles,,UNB,2019,2019-05-03,Sol y Luna,214,234,tcgdex
Spanish,Mentes Unidas,,UNM,2019,2019-08-02,Sol y Luna,236,258,tcgdex
Spanish,Destinos Ocultos,,HIF,2019,2019-08-23,Sol y Luna,68,0,tcgdex
Spanish,Destinos Ocultos Tesoro Brillante,,sma,2019,2019-08-23,Sol y Luna,94,0,tcgdex
Spanish,Eclipse Cósmico,,CEC,2019,2019-11-01,Sol y Luna,236,271,tcgdex
Spanish,Cartas de promoción ESES,,swshp,2019,2019-11-15,Espada y Escudo,307,299,tcgdex
Spanish,Espada y Escudo,,SSH,2020,2020-02-07,Espada y Escudo,202,216,tcgdex
Spanish,Choque Rebelde,,RCL,2020,2020-05-01,Espada y Escudo,192,209,tcgdex
Spanish,Oscuridad Incandescente,,DAA,2020,2020-08-14,Espada y Escudo,189,201,tcgdex
Spanish,Camino de Campeones,,CPA,2020,2020-09-25,Espada y Escudo,73,80,tcgdex
Spanish,Voltaje Vívido,,VIV,2020,2020-11-13,Espada y Escudo,185,203,tcgdex
Spanish,Colección de McDonald's 2021,,MCD21,2021,2021-02-09,Colección de McDonald's,25,0,tcgdex
Spanish,Destinos Brillantes,,SHF,2021,2021-02-19,Espada y Escudo,72,73,tcgdex
Spanish,Destinos Brillantes Tesoro Brillante,,SHF:SV,2021,2021-02-19,Espada y Escudo,122,122,tcgdex
Spanish,Estilos de Combate,,BST,2021,2021-03-19,Espada y Escudo,163,183,tcgdex
Spanish,Reinado Escalofriante,,CRE,2021,2021-06-18,Espada y Escudo,198,233,tcgdex
Spanish,Cielos Evolutivos,,EVS,2021,2021-08-27,Espada y Escudo,203,237,tcgdex
Spanish,Celebraciones,,CEL,2021,2021-10-08,Espada y Escudo,25,25,tcgdex
Spanish,Celebraciones Colección Clásica,,CEL:CC,2021,2021-10-08,Espada y Escudo,25,0,tcgdex
Spanish,Golpe Fusión,,FST,2021,2021-11-12,Espada y Escudo,264,284,tcgdex
Spanish,Astros Brillantes,,BRS,2022,2022-02-25,Espada y Escudo,172,186,tcgdex
Spanish,Astros Brillantes Galería de Entrenador,,BRS:TG,2022,2022-02-25,Espada y Escudo,30,30,tcgdex
Spanish,Resplandor Astral,,ASR,2022,2022-05-27,Espada y Escudo,189,216,tcgdex
Spanish,Resplandor Astral Galería de Entrenador,,ASR:TG,2022,2022-05-27,Espada y Escudo,30,30,tcgdex
Spanish,Pokémon GO,,PGO,2022,2022-07-01,Espada y Escudo,78,88,tcgdex
Spanish,Colección de McDonald's 2022,,MCD22,2022,2022-08-03,Colección de McDonald's,15,15,tcgdex
Spanish,Origen Perdido,,LOR,2022,2022-09-09,Espada y Escudo,196,217,tcgdex
Spanish,Origen Perdido Galería de Entrenador,,LOR:TG,2022,2022-09-09,Espada y Escudo,30,30,tcgdex
Spanish,Tempestad Plateada,,SIT,2022,2022-11-11,Espada y Escudo,195,215,tcgdex
Spanish,Tempestad Plateada Galería de Entrenador,,SIT:TG,2022,2022-11-11,Espada y Escudo,30,30,tcgdex
Spanish,Cenit Supremo,,CRZ,2023,2023-01-20,Espada y Escudo,159,160,tcgdex
Spanish,Cenit Supremo Galería de Galar,,CRZ:GG,2023,2023-01-20,Espada y Escudo,70,70,tcgdex
Spanish,Escarlata y Púrpura,,SVI,2023,2023-03-31,Escarlata y Púrpura,198,258,tcgdex
Spanish,Escarlata y Púrpura Energía,,SVE,2023,2023-03-31,Escarlata y Púrpura,24,24,tcgdex
Spanish,SVP Black Star Promos,,SVP,2023,2023-03-31,Escarlata y Púrpura,225,216,tcgdex
Spanish,Evoluciones en Paldea,,PAL,2023,2023-06-09,Escarlata y Púrpura,193,279,tcgdex
Spanish,Colección de McDonald's 2023,,MCD23,2023,2023-08-01,Colección de McDonald's,15,15,tcgdex
Spanish,Llamas Obsidianas,,OBF,2023,2023-08-11,Escarlata y Púrpura,197,230,tcgdex
Spanish,151,,MEW,2023,2023-09-22,Escarlata y Púrpura,165,207,tcgdex
Spanish,Brecha Paradójica,,PAR,2023,2023-11-03,Escarlata y Púrpura,182,266,tcgdex
Spanish,Destinos de Paldea,,PAF,2024,2024-01-26,Escarlata y Púrpura,91,245,tcgdex
Spanish,Fuerzas Temporales,,TEF,2024,2024-03-22,Escarlata y Púrpura,162,218,tcgdex
Spanish,Mascarada Crepuscular,,TWM,2024,2024-05-24,Escarlata y Púrpura,167,226,tcgdex
Spanish,Fabula Sombría,,SFA,2024,2024-08-02,Escarlata y Púrpura,64,99,tcgdex
Spanish,Corona Astral,,SCR,2024,2024-09-13,Escarlata y Púrpura,142,175,tcgdex
Spanish,Genes Formidables,,A1,2024,2024-10-30,Juego de Cartas Coleccionables Pokémon Pocket,226,286,tcgdex
Spanish,Promo-A,,P-A,2024,2024-10-30,Juego de Cartas Coleccionables Pokémon Pocket,0,92,tcgdex
Spanish,Chispas Fulgurantes,,SSP,2024,2024-11-08,Escarlata y Púrpura,191,252,tcgdex
Spanish,Colección de McDonald's 2024,,MCD24,2024,2024-12-04,Colección de McDonald's,15,15,tcgdex
Spanish,La Isla Singular,,A1a,2024,2024-12-17,Juego de Cartas Coleccionables Pokémon Pocket,68,86,tcgdex
Spanish,Evoluciones Prismáticas,,PRE,2025,2025-01-17,Escarlata y Púrpura,131,180,tcgdex
Spanish,Pugna Espaciotemporal,,A2,2025,2025-01-30,Juego de Cartas Coleccionables Pokémon Pocket,140,207,tcgdex
Spanish,Luz Triunfal,,A2a,2025,2025-02-28,Juego de Cartas Coleccionables Pokémon Pocket,75,96,tcgdex
Spanish,Festival Brillante,,A2b,2025,2025-03-27,Juego de Cartas Coleccionables Pokémon Pocket,72,111,tcgdex
Spanish,Juntos de Aventuras,,JTG,2025,2025-03-28,Escarlata y Púrpura,159,190,tcgdex
Spanish,Guardianes Celestiales,,A3,2025,2025-04-30,Juego de Cartas Coleccionables Pokémon Pocket,155,239,tcgdex
Spanish,Rivales Predestinados,,DRI,2025,2025-05-30,Escarlata y Púrpura,182,244,tcgdex
Spanish,Fulgor Negro,,BLK,2025,2025-07-17,Escarlata y Púrpura,86,172,tcgdex
Spanish,Llama Blanca,,WHT,2025,2025-07-17,Escarlata y Púrpura,86,173,tcgdex
Spanish,Manantial Oculto,,A4a,2025,2025-08-28,Juego de Cartas Coleccionables Pokémon Pocket,71,0,tcgdex
Spanish,Megaevolución Energía,,MEE,2025,2025-09-25,Megaevolución,8,8,tcgdex
Spanish,MEP Black Star Promos,,MEP,2025,2025-09-26,Megaevolución,0,60,tcgdex
Spanish,Megaevolución,,MEG,2025,2025-09-26,Megaevolución,132,188,tcgdex
Spanish,Fuegos Fantasmales,,PFL,2025,2025-11-14,Megaevolución,94,130,tcgdex
Spanish,Fuego Carmesí,,B1a,2025,2025-12-17,Juego de Cartas Coleccionables Pokémon Pocket,69,0,tcgdex
Spanish,Desfile de Ensueño,,B2,2026,2026-01-29,Juego de Cartas Coleccionables Pokémon Pocket,155,0,tcgdex
Spanish,Héroes Ascendentes,,ASC,2026,2026-01-30,Megaevolución,217,295,tcgdex
Spanish,Paldean Wonders,,B2a,2026,2026-02-26,Juego de Cartas Coleccionables Pokémon Pocket,93,129,tcgdex
Spanish,Equilibrio Perfecto,,POR,2026,2026-03-27,Megaevolución,88,124,tcgdex
Spanish,Caos Creciente,,CRI,2026,2026-05-22,Megaevolución,86,122,tcgdex
Spanish,Oscuridad Absoluta,,PBL,2026,2026-07-17,Megaevolución,84,120,tcgdex
French,Set de Base,,BS,1999,1999-01-09,Base,102,102,tcgdex
French,Jungle,,JU,1999,1999-06-16,Base,64,64,tcgdex
French,Wizards Black Star Promos,,basep,1999,1999-07-01,Base,53,26,tcgdex
French,W Promotional,,wp,1999,1999-09-01,Base,7,0,tcgdex
French,Fossile,,FO,1999,1999-10-10,Base,62,62,tcgdex
French,Cartes Jumbo,,jumbo,2000,2000-02-01,Autre,160,0,tcgdex
French,Team Rocket,,RO,2000,2000-04-24,Base,82,83,tcgdex
French,Neo Genesis,,N1,2000,2000-12-16,Neo,111,111,tcgdex
French,Neo Discovery,,N2,2001,2001-06-01,Neo,75,75,tcgdex
French,Neo Revelation,,N3,2001,2001-09-21,Neo,64,66,tcgdex
French,Neo Destiny,,N4,2002,2002-02-28,Neo,105,113,tcgdex
French,Expedition,,EX,2002,2002-09-15,e-cards,165,165,tcgdex
French,Aquapolis,,AQ,2003,2003-01-15,e-cards,147,182,tcgdex
French,EX Rubis & Saphir,,RS,2003,2003-07-01,EX,109,109,tcgdex
French,EX Tempête de sable,,SS,2003,2003-09-18,EX,100,100,tcgdex
French,Promo Nintendo,,np,2003,2003-10-01,POP,40,21,tcgdex
French,EX Dragon,,DR,2003,2003-11-24,EX,97,100,tcgdex
French,EX Team Magma vs Team Aqua,,MA,2004,2004-03-01,EX,95,97,tcgdex
French,EX Légendes Oubliées,,HL,2004,2004-06-01,EX,101,102,tcgdex
French,EX Kit dresseur (Latias),,TK1A,2004,2004-07-01,Kits du dresseur,10,10,tcgdex
French,EX Kit dresseur (Latios),,TK1O,2004,2004-07-01,Kits du dresseur,10,10,tcgdex
French,EX Rouge Feu & Vert Feuille,,RG,2004,2004-09-01,EX,112,116,tcgdex
French,POP Série 1,,P1,2004,2004-09-01,POP,17,17,tcgdex
French,EX Deoxys,,DX,2005,2005-02-01,EX,107,108,tcgdex
French,EX Émeraude,,EM,2005,2005-05-09,EX,106,107,tcgdex
French,POP Série 2,,P2,2005,2005-08-01,POP,17,17,tcgdex
French,EX Forces Cachées,,UF,2005,2005-08-22,EX,115,117,tcgdex
French,EX Forces Cachées Collection Zarbi,,exu,2005,2005-08-22,EX,28,28,tcgdex
French,EX Espèces Delta,,DS,2005,2005-10-31,EX,113,114,tcgdex
French,EX Créateurs de légendes,,LM,2006,2006-02-13,EX,92,93,tcgdex
French,EX Kit dresseur (Négapi),,TK2M,2006,2006-03-01,Kits du dresseur,12,12,tcgdex
French,EX Kit dresseur (Positi),,TK2P,2006,2006-03-01,Kits du dresseur,12,12,tcgdex
French,POP Série 3,,P3,2006,2006-04-01,POP,17,17,tcgdex
French,EX Fantômes Holon,,HP,2006,2006-05-03,EX,110,111,tcgdex
French,POP Série 4,,P4,2006,2006-08-01,POP,17,17,tcgdex
French,EX Gardiens de Cristal,,CG,2006,2006-08-30,EX,100,100,tcgdex
French,EX Île des Dragons,,DF,2006,2006-11-08,EX,101,101,tcgdex
French,EX Gardiens du Pouvoir,,PK,2007,2007-02-17,EX,108,108,tcgdex
French,Diamant & Perle,,DP,2007,2007-05-01,Diamant & Perle,130,130,tcgdex
French,Promo DP,,dpp,2007,2007-05-01,Diamant & Perle,56,42,tcgdex
French,Trésors Mystérieux,,MT,2007,2007-08-01,Diamant & Perle,123,124,tcgdex
French,DP Kit dresseur (Lucario),,TK3L,2007,2007-09-01,Kits du dresseur,11,11,tcgdex
French,DP Kit dresseur (Manaphy),,TK3M,2007,2007-09-01,Kits du dresseur,12,12,tcgdex
French,Merveilles Secrètes,,SW,2007,2007-11-01,Diamant & Perle,132,132,tcgdex
French,Duels au Sommets,,GE,2008,2008-02-01,Diamant & Perle,106,106,tcgdex
French,POP Série 7,,P7,2008,2008-03-01,POP,17,17,tcgdex
French,Aube Majestueuse,,MD,2008,2008-05-01,Diamant & Perle,100,100,tcgdex
French,Éveil des Légendes,,LA,2008,2008-08-01,Diamant & Perle,146,146,tcgdex
French,Tempête,,SF,2008,2008-11-01,Diamant & Perle,100,106,tcgdex
French,Platine,,PL,2009,2009-02-11,Platine,127,133,tcgdex
French,POP Série 9,,P9,2009,2009-03-01,POP,17,17,tcgdex
French,Rivaux Émergeants,,RR,2009,2009-05-16,Platine,111,120,tcgdex
French,Vainqueurs Suprêmes,,SV,2009,2009-08-19,Platine,147,153,tcgdex
French,HeartGold SoulSilver,,HS,2010,2010-02-10,HeartGold SoulSilver,123,124,tcgdex
French,Promo HGSS,,hgssp,2010,2010-02-11,HeartGold SoulSilver,25,25,tcgdex
French,HS Kit du dresseur (Léviator),,TK4G,2010,2010-05-01,Kits du dresseur,30,1,tcgdex
French,HS Kit du dresseur (Raichu),,TK4R,2010,2010-05-01,Kits du dresseur,30,1,tcgdex
French,Déchaînement,,UL,2010,2010-05-12,HeartGold SoulSilver,95,96,tcgdex
French,Indomptable,,UND,2010,2010-08-18,HeartGold SoulSilver,90,91,tcgdex
French,Triomphant,,TRI,2010,2010-11-03,HeartGold SoulSilver,102,103,tcgdex
French,L'appel des Légendes,,COL,2011,2011-02-09,L'appel des Légendes,95,106,tcgdex
French,Noir & Blanc,,BLW,2011,2011-04-25,Noir & Blanc,114,115,tcgdex
French,Promo BW,,BWP,2011,2011-04-26,Noir & Blanc,101,101,tcgdex
French,Collection McDonald's 2011,,MCD11,2011,2011-06-17,Collection McDonald's,12,12,tcgdex
French,Pouvoirs Émergents,,EP,2011,2011-08-31,Noir & Blanc,98,98,tcgdex
French,BW Kit du dresseur (Minitaupe),,TK5E,2011,2011-09-01,Kits du dresseur,30,30,tcgdex
French,BW Kit du dresseur (Zoroark),,TK5Z,2011,2011-09-01,Kits du dresseur,30,30,tcgdex
French,Nobles Victoires,,NVI,2011,2011-11-16,Noir & Blanc,101,102,tcgdex
French,Destinées Futures,,NXD,2012,2012-02-08,Noir & Blanc,99,103,tcgdex
French,Explorateurs Obscurs,,DEX,2012,2012-05-09,Noir & Blanc,108,111,tcgdex
French,Collection McDonald's 2012,,MCD12,2012,2012-06-15,Collection McDonald's,12,12,tcgdex
French,Dragons Éxaltés,,DRX,2012,2012-08-15,Noir & Blanc,124,128,tcgdex
French,Coffre des Dragons,,DRV,2012,2012-10-05,Noir & Blanc,20,21,tcgdex
French,Frontières Franchies,,BCR,2012,2012-11-07,Noir & Blanc,149,153,tcgdex
French,Tempète Plasma,,PLS,2013,2013-02-06,Noir & Blanc,135,138,tcgdex
French,Glaciation Plasma,,PLF,2013,2013-05-08,Noir & Blanc,116,122,tcgdex
French,Explosion Plasma,,PLB,2013,2013-08-14,Noir & Blanc,101,105,tcgdex
French,Promo XY,,XYP,2013,2013-10-12,XY,211,211,tcgdex
French,Collection McDonald's 2013,,2013bw,2013,2013-11-01,Collection McDonald's,12,12,tcgdex
French,Radiant Collection,,rc,2013,2013-11-06,Noir & Blanc,25,0,tcgdex
French,Bienvenue à Kalos,,KSS,2013,2013-11-08,XY,39,39,tcgdex
French,XY,,XY,2014,2014-02-05,XY,146,146,tcgdex
French,carte alternative A Jaune,,xya,2014,2014-02-05,XY,6,6,tcgdex
French,XY Kit du dresseur (Bruyverne),,TK6N,2014,2014-03-12,Kits du dresseur,30,30,tcgdex
French,XY Kit du dresseur (Nymphali),,TK6S,2014,2014-03-12,Kits du dresseur,30,30,tcgdex
French,Étincelles,,FLF,2014,2014-05-07,XY,106,109,tcgdex
French,Collection McDonald's 2014,,MCD14,2014,2014-05-23,Collection McDonald's,12,12,tcgdex
French,Poings Furieux,,FFI,2014,2014-08-13,XY,111,113,tcgdex
French,XY Kit du dresseur (Grodoudou),,TK7B,2014,2014-11-01,Kits du dresseur,30,30,tcgdex
French,XY Kit du dresseur (Scalproie),,TK7A,2014,2014-11-01,Kits du dresseur,30,30,tcgdex
French,Vigueur Spectrale,,PHF,2014,2014-11-05,XY,119,122,tcgdex
French,Primo-Choc,,PRC,2015,2015-02-04,XY,160,164,tcgdex
French,Double Danger,,DCR,2015,2015-03-25,XY,34,34,tcgdex
French,XY Kit du dresseur (Latias),,TK8A,2015,2015-04-29,Kits du dresseur,30,30,tcgdex
French,XY Kit du dresseur (Latios),,TK8O,2015,2015-04-29,Kits du dresseur,30,30,tcgdex
French,Ciel Rugissant,,ROS,2015,2015-05-06,XY,108,110,tcgdex
French,Origines Antiques,,AOR,2015,2015-08-12,XY,98,100,tcgdex
French,Impulsion Turbo,,BKT,2015,2015-11-04,XY,162,164,tcgdex
French,Collection McDonald's 2015,,MCD15,2015,2015-11-27,Collection McDonald's,12,12,tcgdex
French,Rupture Turbo,,BKP,2016,2016-02-03,XY,122,123,tcgdex
French,Générations,,GEN,2016,2016-02-22,XY,83,115,tcgdex
French,XY Kit du dresseur (Pikachu Libre),,TK9P,2016,2016-04-27,Kits du dresseur,30,30,tcgdex
French,XY Kit du dresseur (Suicune),,TK9S,2016,2016-04-27,Kits du dresseur,30,30,tcgdex
French,Impact des Destins,,FCO,2016,2016-05-02,XY,124,125,tcgdex
French,Offensive Vapeur,,STS,2016,2016-08-03,XY,114,116,tcgdex
French,Collection McDonald's 2016,,MCD16,2016,2016-08-20,Collection McDonald's,12,12,tcgdex
French,Évolutions,,EVO,2016,2016-11-02,XY,108,113,tcgdex
French,Promo SM,,SMP,2017,2017-02-03,Soleil et Lune,248,248,tcgdex
French,Soleil et Lune,,SUM,2017,2017-02-03,Soleil et Lune,149,163,tcgdex
French,SM Kit du dresseur (Lougarox),,TK10L,2017,2017-04-21,Kits du dresseur,30,18,tcgdex
French,SM Kit du dresseur (Raichu d'Alola),,TK10A,2017,2017-04-21,Kits du dresseur,30,19,tcgdex
French,Gardiens Ascendants,,GRI,2017,2017-05-05,Soleil et Lune,145,169,tcgdex
French,Collection McDonald's 2017,,MCD17,2017,2017-08-03,Collection McDonald's,12,12,tcgdex
French,Ombres Ardentes,,BUS,2017,2017-08-04,Soleil et Lune,147,169,tcgdex
French,Légendes Brillantes,,SLG,2017,2017-10-06,Soleil et Lune,73,78,tcgdex
French,Invasion Carmin,,CIN,2017,2017-11-03,Soleil et Lune,111,124,tcgdex
French,Ultra-Prisme,,UPR,2018,2018-02-02,Soleil et Lune,156,173,tcgdex
French,Lumière Interdite,,FLI,2018,2018-05-04,Soleil et Lune,131,146,tcgdex
French,Collection McDonald's 2018,,2018sm-fr,2018,2018-06-13,Collection McDonald's,40,40,tcgdex
French,Tempête Céleste,,CES,2018,2018-08-03,Soleil et Lune,168,183,tcgdex
French,Majesté Des Dragons,,DRM,2018,2018-09-07,Soleil et Lune,70,78,tcgdex
French,Tonnerre Perdu,,LOT,2018,2018-11-02,Soleil et Lune,214,236,tcgdex
French,Duo de Choc,,TEU,2019,2019-01-31,Soleil et Lune,181,196,tcgdex
French,Détective Pikachu,,DET,2019,2019-03-29,Soleil et Lune,18,18,tcgdex
French,Alliance Infaillible,,UNB,2019,2019-05-03,Soleil et Lune,214,234,tcgdex
French,Harmonie des Esprits,,UNM,2019,2019-08-02,Soleil et Lune,236,258,tcgdex
French,Destinées Occultes,,HIF,2019,2019-08-23,Soleil et Lune,68,69,tcgdex
French,Destinées Occultes Coffre Étincelant,,sma,2019,2019-08-23,Soleil et Lune,94,94,tcgdex
French,Collection McDonald's 2019,,2019sm-fr,2019,2019-10-30,Collection McDonald's,40,40,tcgdex
French,Éclipse Cosmique,,CEC,2019,2019-11-01,Soleil et Lune,236,271,tcgdex
French,Promo SWSH,,swshp,2019,2019-11-15,Épée et Bouclier,307,299,tcgdex
French,Épée et Bouclier,,SSH,2020,2020-02-07,Épée et Bouclier,202,216,tcgdex
French,Clash des Rebelles,,RCL,2020,2020-05-01,Épée et Bouclier,192,209,tcgdex
French,Ténèbres Embrasées,,DAA,2020,2020-08-14,Épée et Bouclier,189,201,tcgdex
French,La Voie du Maître,,CPA,2020,2020-09-25,Épée et Bouclier,73,80,tcgdex
French,Voltage Éclatant,,VIV,2020,2020-11-13,Épée et Bouclier,185,203,tcgdex
French,Collection McDonald's 2021,,MCD21,2021,2021-02-09,Collection McDonald's,25,25,tcgdex
French,Destinées Radieuses,,SHF,2021,2021-02-19,Épée et Bouclier,72,73,tcgdex
